,Names,Wins,Losses,Ties,Points For,Points Against,Home Wins,Home Losses,Home Ties,Road Wins,Road Losses,Road Ties,Division Wins,Division Losses,Division Ties,Conference Wins,Conference Losses,Conference Ties,Non-Conference Wins,Non-Conference Losses,Non-Conference Ties,Last Five Wins,Last Five Losses,Last Five Ties
0,New York Jets 2002,9,7,0,359,336,5,3,0,4,4,0,4,2,0,6,6,0,3,1,0,3,2,0
1,New England Patriots 2002,9,7,0,381,346,5,3,0,4,4,0,4,2,0,6,6,0,3,1,0,3,2,0
2,Miami Dolphins 2002,9,7,0,378,301,7,1,0,2,6,0,2,4,0,7,5,0,2,2,0,2,3,0
3,Buffalo Bills 2002,8,8,0,379,397,5,3,0,3,5,0,2,4,0,5,7,0,3,1,0,3,2,0
4,Pittsburgh Steelers 2002,10,5,1,390,345,5,2,1,5,3,0,6,0,0,8,4,0,2,1,1,4,1,0
5,Cleveland Browns 2002,9,7,0,344,320,3,5,0,6,2,0,3,3,0,7,5,0,2,2,0,3,2,0
6,Baltimore Ravens 2002,7,9,0,316,354,4,4,0,3,5,0,3,3,0,7,5,0,0,4,0,2,3,0
7,Cincinnati Bengals 2002,2,14,0,279,456,1,7,0,1,7,0,0,6,0,1,11,0,1,3,0,1,4,0
8,Tennessee Titans 2002,11,5,0,367,324,6,2,0,5,3,0,6,0,0,9,3,0,2,2,0,5,0,0
9,Indianapolis Colts 2002,10,6,0,349,313,5,3,0,5,3,0,4,2,0,8,4,0,2,2,0,3,2,0
10,Jacksonville Jaguars 2002,6,10,0,328,315,3,5,0,3,5,0,1,5,0,4,8,0,2,2,0,1,4,0
11,Houston Texans 2002,4,12,0,213,356,2,6,0,2,6,0,1,5,0,2,10,0,2,2,0,1,4,0
12,Las Vegas Raiders 2002,11,5,0,450,304,6,2,0,5,3,0,4,2,0,9,3,0,2,2,0,4,1,0
13,Denver Broncos 2002,9,7,0,392,344,5,3,0,4,4,0,3,3,0,5,7,0,4,0,0,2,3,0
14,Los Angeles Chargers 2002,8,8,0,333,367,5,3,0,3,5,0,3,3,0,6,6,0,2,2,0,1,4,0
15,Kansas City Chiefs 2002,8,8,0,467,399,6,2,0,2,6,0,2,4,0,6,6,0,2,2,0,3,2,0
16,Philadelphia Eagles 2002,12,4,0,415,241,7,1,0,5,3,0,5,1,0,11,1,0,1,3,0,4,1,0
17,New York Giants 2002,10,6,0,320,279,5,3,0,5,3,0,5,1,0,8,4,0,2,2,0,4,1,0
18,Washington Commanders 2002,7,9,0,307,365,5,3,0,2,6,0,1,5,0,4,8,0,3,1,0,2,3,0
19,Dallas Cowboys 2002,5,11,0,217,329,4,4,0,1,7,0,1,5,0,3,9,0,2,2,0,1,4,0
20,Green Bay Packers 2002,12,4,0,398,328,8,0,0,4,4,0,5,1,0,9,3,0,3,1,0,4,1,0
21,Minnesota Vikings 2002,6,10,0,390,442,4,4,0,2,6,0,4,2,0,5,7,0,1,3,0,3,2,0
22,Chicago Bears 2002,4,12,0,281,379,3,5,0,1,7,0,2,4,0,3,9,0,1,3,0,1,4,0
23,Detroit Lions 2002,3,13,0,306,451,3,5,0,0,8,0,1,5,0,3,9,0,0,4,0,0,5,0
24,Tampa Bay Buccaneers 2002,12,4,0,346,196,6,2,0,6,2,0,4,2,0,9,3,0,3,1,0,3,2,0
25,Atlanta Falcons 2002,9,6,1,402,314,5,3,0,4,3,1,4,2,0,7,5,0,2,1,1,2,3,0
26,New Orleans Saints 2002,9,7,0,432,388,4,4,0,5,3,0,3,3,0,7,5,0,2,2,0,2,3,0
27,Carolina Panthers 2002,7,9,0,258,302,4,4,0,3,5,0,1,5,0,4,8,0,3,1,0,4,1,0
28,San Francisco 49ers 2002,10,6,0,367,351,5,3,0,5,3,0,5,1,0,8,4,0,2,2,0,3,2,0
29,Los Angeles Rams 2002,7,9,0,316,369,6,2,0,1,7,0,4,2,0,5,7,0,2,2,0,2,3,0
30,Seattle Seahawks 2002,7,9,0,355,369,3,5,0,4,4,0,2,4,0,5,7,0,2,2,0,3,2,0
31,Arizona Cardinals 2002,5,11,0,262,417,3,5,0,2,6,0,1,5,0,5,7,0,0,4,0,1,4,0
